Fecha;Fallecidos;Recuperados
6-mar;0;1
9-mar;0;2
11-mar;0;6
12-mar;0;5
13-mar;0;5
14-mar;0;18
15-mar;0;16
16-mar;1;13
17-mar;0;25
18-mar;0;12
19-mar;0;26
20-mar;3;45
21-mar;1;33
22-mar;1;28
23-mar;4;69
24-mar;4;101
25-mar;1;60
26-mar;1;9
27-mar;4;45
28-mar;5;64
29-mar;3;91
30-mar;9;86
31-mar;6;101
1-abr;12;147
2-abr;4;92
3-abr;9;96
4-abr;11;129
5-abr;7;72
6-abr;10;84
7-abr;9;120
8-abr;22;324
9-abr;18;151
10-abr;17;234
11-abr;27;208
12-abr;6;61
13-abr;1;74
14-abr;6;119
15-abr;13;111
16-abr;10;118
17-abr;9;196
18-abr;11;172
19-abr;4;170
20-abr;9;172
21-abr;8;162
22-abr;5;188
23-abr;16;177
24-abr;14;289
25-abr;13;247
26-abr;6;230
27-abr;4;212
28-abr;23;331
29-abr;15;246
30-abr;20;275
1-may;18;480
2-may;20;255
3-may;13;407
4-may;8;298
5-may;44;591
6-may;10;335
7-may;12;485
8-may;31;561
9-may;19;425
10-may;29;536
11-may;24;525
12-may;26;629
13-may;27;628
14-may;32;647
15-may;20;584
16-may;31;690
17-may;19;611
18-may;20;696
19-may;29;609
20-may;33;719
21-may;20;622
22-may;32;767
23-may;48;993
24-may;42;955
25-may;17;789
26-may;23;993
27-may;30;1067
28-may;51;1207
29-may;42;1276
30-may;84;1460
31-may;30;1115
1-jun;33;1074
2-jun;80;1255
3-jun;54;1465
4-jun;80;1679
5-jun;58;1444
6-jun;56;1329
7-jun;68;1133
8-jun;77;1401
9-jun;54;1300
10-jun;66;1532
11-jun;56;1472
12-jun;82;1554
13-jun;105;1777
14-jun;104;2077
15-jun;105;2007
16-jun;84;1775
17-jun;133;1979
18-jun;188;2972
19-jun;142;2899
20-jun;131;2219
21-jun;155;2849
22-jun;81;2441
23-jun;129;2250
24-jun;160;3369
25-jun;170;3301
26-jun;157;3668
27-jun;184;3954
28-jun;157;3008
29-jun;133;3135
30-jun;107;2686
1-jul;212;3939
2-jul;201;3886
3-jul;199;3184
4-jul;181;3684
5-jul;160;3545
6-jul;130;3028
7-jul;187;4008
8-jul;217;3912
9-jul;289;5032
10-jul;220;6557
11-jul;206;4359
12-jul;199;4857
13-jul;154;3658
14-jul;228;5376
15-jul;260;4985
16-jul;326;7672
17-jul;258;8639
18-jul;298;8237
19-jul;236;6316
20-jul;263;6435
21-jul;277;6724
22-jul;359;6986
23-jul;303;7606
24-jul;349;6776
25-jul;279;6948
26-jul;324;7818
27-jul;331;7762
28-jul;393;9847
29-jul;381;8228
30-jul;339;9575
31-jul;303;9133
1-ago;329;10306
2-ago;389;11021
3-ago;337;9830
4-ago;261;6740
5-ago;391;10167
6-ago;366;11382
7-ago;267;9061
8-ago;273;9231
9-ago;311;10110
10-ago;353;9593
11-ago;371;12241
12-ago;355;11464
13-ago;422;10549
14-ago;348;10720
15-ago;309;11113
16-ago;304;11153
17-ago;228;7954
18-ago;292;11946
19-ago;391;12423
20-ago;370;10892
21-ago;310;7846
22-ago;335;10396
23-ago;287;7489
24-ago;268;10127
25-ago;405;9719
26-ago;274;9620
27-ago;303;9209
28-ago;278;7997
29-ago;249;8948
30-ago;205;7651
31-ago;209;6869
1-sep;226;8481
2-sep;250;8845
3-sep;247;7925
4-sep;244;8077
5-sep;200;8105
6-sep;173;7530
7-sep;143;5097
8-sep;183;7322
9-sep;197;7003
10-sep;218;7350
11-sep;195;7052
12-sep;163;6536
13-sep;181;7069
14-sep;111;5374
15-sep;173;6379
16-sep;178;7466
17-sep;208;7182
18-sep;158;6160
19-sep;181;7556
20-sep;168;6394
21-sep;97;5178
22-sep;171;6776
23-sep;179;6390
24-sep;202;6174
25-sep;190;7082
26-sep;165;7416
27-sep;152;6709
28-sep;105;4953
29-sep;97;5631
30-sep;163;5272
1-oct;134;5338
2-oct;141;5871
3-oct;150;6280
4-oct;129;6655
5-oct;130;6841
6-oct;151;7315
7-oct;168;7499
8-oct;218;8031
9-oct;140;7773
10-oct;154;8098
11-oct;126;8265
12-oct;116;7532
13-oct;70;4865
14-oct;156;5701
15-oct;137;6207
16-oct;194;7677
17-oct;112;6112
18-oct;97;6024
19-oct;110;5496
20-oct;152;5690
21-oct;103;4601
22-oct;110;4761
23-oct;80;4545
24-oct;89;3004
25-oct;64;4730
26-oct;86;5714
27-oct;53;4094
28-oct;65;2449
29-oct;2;0
